Code commune,Libellé de la commune,BV2014,Inscrits,Abstentions,Votants,Nuls,Exprimés,N°Panneau,Nuance,Liste – conduite par,Voix,N°Panneau,Nuance,Liste – conduite par,Voix
208,Lectoure,1,826,272,554,69,485,1,LSOC ,"LECTOURE, ENCORE ET TOUJOURS  - M. Gérard DUCLOS",283,2,LDVG ,"LECTOURE ""DE GAUCHE ET SOLIDAIRE"" - Mme Sylvie COLAS",202
208,Lectoure,2,745,217,528,73,455,1,LSOC ,"LECTOURE, ENCORE ET TOUJOURS  - M. Gérard DUCLOS",262,2,LDVG ,"LECTOURE ""DE GAUCHE ET SOLIDAIRE"" - Mme Sylvie COLAS",193
208,Lectoure,3,726,234,492,62,430,1,LSOC ,"LECTOURE, ENCORE ET TOUJOURS  - M. Gérard DUCLOS",249,2,LDVG ,"LECTOURE ""DE GAUCHE ET SOLIDAIRE"" - Mme Sylvie COLAS",181
208,Lectoure,4,508,167,341,46,295,1,LSOC ,"LECTOURE, ENCORE ET TOUJOURS  - M. Gérard DUCLOS",171,2,LDVG ,"LECTOURE ""DE GAUCHE ET SOLIDAIRE"" - Mme Sylvie COLAS",124
