CodCan,LibCan,Bureau de vote,Libellé,Inscrits,Votants,Nuls,Blancs,Exprimés,Procurations,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix
01,Angers 1,122,ECOLE MATERNELLE LAREVELLIERE,1249,614,10,19,585,8,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,405,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,180,,,,,,,,,,,,,,,,
01,Angers 1,123,ECOLE MATERNELLE LAREVELLIERE,1109,517,21,43,453,7,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,226,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,227,,,,,,,,,,,,,,,,
0,Angers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Angers 2,201,ECOLE CHARLES BENIER,820,371,9,18,344,14,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,178,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,166,,,,,,,,,,,,,,,,
02,Angers 2,202,ECOLE CHARLES BENIER,1334,716,12,21,683,19,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,317,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,366,,,,,,,,,,,,,,,,
02,Angers 2,203,ECOLE CHARLES BENIER,1054,514,8,20,486,6,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,224,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,262,,,,,,,,,,,,,,,,
02,Angers 2,204,ECOLE MATERNELLE J.J.ROUSSEAU,994,317,11,27,279,2,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,167,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,112,,,,,,,,,,,,,,,,
02,Angers 2,205,ECOLE MATERNELLE J.J ROUSSEAU,1210,496,27,24,445,3,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,234,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,211,,,,,,,,,,,,,,,,
02,Angers 2,206,ECOLE MATERNELLE J.J.ROUSSEAU,942,519,12,28,479,15,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,240,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,239,,,,,,,,,,,,,,,,
02,Angers 2,207,ECOLE PRIMAIRE JULES VERNE,1512,511,12,29,470,5,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,285,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,185,,,,,,,,,,,,,,,,
02,Angers 2,208,ECOLE PRIMAIRE JULES VERNE,997,565,14,18,533,6,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,230,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,303,,,,,,,,,,,,,,,,
02,Angers 2,209,ECOLE CLAUDE MONET,1122,521,20,27,474,6,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,261,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,213,,,,,,,,,,,,,,,,
02,Angers 2,210,ECOLE CLAUDE MONET,1095,445,11,36,398,6,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,217,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,181,,,,,,,,,,,,,,,,
02,Angers 2,211,ECOLE DES GRANDES MAULEVRIES,1050,503,17,19,467,13,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,232,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,235,,,,,,,,,,,,,,,,
02,Angers 2,212,ECOLE DES GRANDES MAULEVRIES,1030,526,10,21,495,11,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,231,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,264,,,,,,,,,,,,,,,,
02,Angers 2,213,ECOLE DES GRANDES MAULEVRIES,658,323,8,8,307,2,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,165,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,142,,,,,,,,,,,,,,,,
02,Angers 2,214,ECOLE DES GRANDES MAULEVRIES,1167,505,11,30,464,11,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,258,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,206,,,,,,,,,,,,,,,,
02,Angers 2,215,ECOLE JEAN ROSTAND,1120,464,10,32,422,9,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,239,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,183,,,,,,,,,,,,,,,,
02,Angers 2,216,ECOLE JEAN ROSTAND,1005,517,12,26,479,11,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,275,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,204,,,,,,,,,,,,,,,,
