CodCan,LibCan,Bureau de vote,Libellé,Inscrits,Votants,Nuls,Blancs,Exprimés,Procurations,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix
01,Angers 1,113,ECOLE CONDORCET,1065,631,7,23,601,19,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,61,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,281,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,146,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,73,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,40,,,,
01,Angers 1,114,ECOLE CONDORCET,453,236,4,3,229,8,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,31,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,93,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,58,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,31,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,16,,,,
01,Angers 1,115,ENSEMBLE PAUL BERT,987,516,6,16,494,15,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,49,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,219,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,135,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,66,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,25,,,,
01,Angers 1,116,ENSEMBLE PAUL BERT,1037,550,2,10,538,15,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,64,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,245,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,111,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,78,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,40,,,,
01,Angers 1,117,ECOLE PRIMAIRE ALFRED CLEMENT,1137,611,4,12,595,22,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,68,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,268,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,161,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,61,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,37,,,,
01,Angers 1,118,ECOLE PRIMAIRE ALFRED CLEMENT,942,406,5,16,385,7,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,30,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,153,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,135,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,46,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,21,,,,
01,Angers 1,119,ECOLE PRIMAIRE ALFRED CLEMENT,1197,576,8,13,555,10,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,63,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,261,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,139,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,55,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,37,,,,
01,Angers 1,120,SALLE VILLOUTREYS,1133,643,5,33,605,17,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,60,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,253,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,184,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,68,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,40,,,,
01,Angers 1,121,SALLE VILLOUTREYS,943,445,7,19,419,8,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,48,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,171,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,102,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,76,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,22,,,,
01,Angers 1,122,ECOLE MATERNELLE LAREVELLIERE,1249,612,3,10,599,13,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,42,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,319,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,112,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,94,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,32,,,,
